TIME;POSITION;WEIGHT;SPEED
31,52139139;7,776985645;18,64752216;7,588603913
31,54052186;8,061419487;18,69209061;7,379982366
31,56256104;8,387448311;19,59272747;7,275671832
31,5862329;8,727064133;19,85398064;7,24959384
31,60863805;9,059023857;18,36553917;7,588603913
31,63136649;9,40741539;20,53304558;7,875458002
31,6549778;9,783776283;19,22292423;8,005846528
31,67726588;10,14626312;19,90619488;8,136235054
31,70010662;10,51173782;19,72412739;8,084080025
31,72250056;10,8694725;19,27299614;7,901535993
31,74682546;11,24824905;19,39906082;7,562525921
31,76906824;11,57740211;19,19805393;7,197438812
31,79092073;11,89083958;19,53295326;7,040972771
31,81382751;12,21242142;17,34420204;7,067050286
31,83740425;12,53921223;18,78067818;6,858428739
31,8623445;12,88281918;20,3533556;6,806273711
31,88598442;13,20561218;17,30855827;6,910584245
31,90893459;13,52092457;19,24857559;6,780195719
31,9343822;13,85797501;16,31763439;6,545496659
31,95710063;14,1504755;19,73331127;6,33687559
31,98118472;14,4510088;19,00443535;6,023943509
32,00499654;14,73175144;19,2106041;5,684933437
32,02819586;14,99503231;18,79318886;5,554545388
32,05396485;15,27409458;20,30266056;5,319846327
32,07886362;15,53614616;19,48316631;5,215535315
32,10201883;15,77780628;20,02042694;5,398079348
32,12511563;16,02886772;19,59422264;5,606700416
32,14926243;16,30418587;19,20843773;5,711011428
32,17228842;16,56329346;19,4858099;5,554545388
32,19641566;16,8298378;19,11676197;5,398079348
32,22364783;17,12347031;18,83034153;5,398079348
32,24612808;17,3675518;19,34270611;5,554545388
32,27118373;17,64966774;19,42283592;5,841399477
32,32688046;18,31753349;19,04937973;5,997865517
32,34668207;18,54680252;18,72810173;5,502389882
32,36430144;18,73189545;18,83959751;4,824370215
32,38302827;18,89649773;18,4498764;3,755185685
32,40234423;19,02046967;18,77470951;2,477379848
32,42177224;19,0936451;18,32353706;0,964874711
32,44356847;19,1079483;18,19845943;-0,521553508
32,4655087;19,06957626;19,39264069;-1,069184768
32,48579526;19,02449799;19,62799358;-1,173495422
32,50495315;18,98287201;19,45580177;-0,990951688
32,5278182;18,93817139;19,6566576;-0,782330321
32,54760432;18,91113281;19,40954418;-0,547631261
32,56785774;18,89323616;19,2552927;-0,339009864
32,58815455;18,87982368;19,36908875;-0,31293217
32,60899568;18,87384796;19,26587048;0,104310699
32,63019204;18,87832069;19,17846565;0,05215536
32,65042996;18,87680244;19,2152956;-0,052155353
32,67019653;18,87593079;19,26770554;0
32,69124603;18,87551498;19,21247864;0
32,71257758;18,87509727;19,11403942;0
32,73216295;18,87402916;19,12363873;-0,078233028
32,75248957;18,87180328;19,15552998;-0,078233028
32,77223945;18,86917877;19,1824585;-0,052155353
32,79263997;18,86656189;19,21875801;-0,078233028
